2023-07-15 00:07:370 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 00:07:293 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 00:07:896 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (22adf624af8416d366c124436c468231)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 00:07:404 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 00:07:775 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (e5ef79d12b6ef3e93f044f41db4be8b9)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 00:07:716 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 00:07:473 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 00:07:927 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (2a4cb6d74f56131538332f352edd2383)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 00:07:346 INFO  SignInPage :62 - get welcome text[[ChromeDriver: chrome on WINDOWS (2a4cb6d74f56131538332f352edd2383)] -> xpath: //h1[contains(text(),'Sign in')]]
2023-07-15 11:07:439 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:254 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (4c21700436c096516e5bf3916f0b511a)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 11:07:183 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:121 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (e70ad62ab88b1c2cbd8e1a47facfb1b0)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 11:07:871 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:745 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (5d338e964ead4cc0f8c1eb0f673ecf7c)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 11:07:500 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:89 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (6d3b6e6f8134e4316f0909286754fbf5)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 11:07:670 INFO  SignInPage :53 - get welcome text[[ChromeDriver: chrome on WINDOWS (6d3b6e6f8134e4316f0909286754fbf5)] -> xpath: //h1[contains(text(),'Sign in')]]
2023-07-15 11:07:451 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:493 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (2a6c081de414d766ad35055d1a7336bc)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 11:07:966 INFO  SignInPage :63 - enterEmailIdtest@gmail.com
2023-07-15 11:07:129 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:446 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (d6513aa3d4381d676376818a1998b412)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 11:07:966 INFO  SignInPage :53 - get welcome text[[ChromeDriver: chrome on WINDOWS (d6513aa3d4381d676376818a1998b412)] -> xpath: //h1[contains(text(),'Sign in')]]
2023-07-15 11:07:761 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:459 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:91 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (2f3ec0a5cd4244d33a1f071fb9308097)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 11:07:593 INFO  SignInPage :53 - get welcome text[[ChromeDriver: chrome on WINDOWS (2f3ec0a5cd4244d33a1f071fb9308097)] -> xpath: //h1[contains(text(),'Sign in')]]
2023-07-15 11:07:384 INFO  ManageBrowser :35 - launching chrome browser
2023-07-15 11:07:999 INFO  HomePage :53 - click on register link :[[ChromeDriver: chrome on WINDOWS (1852fd8eaf47e762aaf99d0a74d86536)] -> css selector: #nav-flyout-ya-signin>a]
2023-07-15 11:07:520 INFO  SignInPage :63 - enterEmailIdtest@gmail.com
2023-07-15 11:07:656 INFO  SignInPage :69 - Click on Continue button after email[[ChromeDriver: chrome on WINDOWS (1852fd8eaf47e762aaf99d0a74d86536)] -> css selector: input#continue]
2023-07-15 11:07:42 INFO  SignInPage :74 - enter passwordtest_12345
2023-07-15 11:07:133 INFO  SignInPage :81 - click on login button[[ChromeDriver: chrome on WINDOWS (1852fd8eaf47e762aaf99d0a74d86536)] -> css selector: input#signInSubmit]
2023-07-15 11:07:360 INFO  SignInPage :87 - get error messages[[ChromeDriver: chrome on WINDOWS (1852fd8eaf47e762aaf99d0a74d86536)] -> css selector: span[class='a-list-item']]
