2023-07-03 19:07:642 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 19:07:602 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 19:07:681 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 19:07:244 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 19:07:496 INFO  HomePage :37 - click on register link :[[ChromeDriver: chrome on WINDOWS (b056e78fede55cb7c149353cea9be4d0)] -> link text: Register]
2023-07-03 19:07:232 INFO  RegisterPge :66 - Enter First Name[[ChromeDriver: chrome on WINDOWS (b056e78fede55cb7c149353cea9be4d0)] -> id: customer.firstName]
2023-07-03 19:07:362 INFO  RegisterPge :70 - Enter Last Name[[ChromeDriver: chrome on WINDOWS (b056e78fede55cb7c149353cea9be4d0)] -> id: customer.lastName]
2023-07-03 19:07:445 INFO  RegisterPge :75 - Enter Address Street NameTest
2023-07-03 19:07:542 INFO  RegisterPge :80 - Enter City Name: Test City
2023-07-03 19:07:631 INFO  RegisterPge :85 - Enter State Name: Test State
2023-07-03 19:07:736 INFO  RegisterPge :90 - Enter Zip Code: [[ChromeDriver: chrome on WINDOWS (b056e78fede55cb7c149353cea9be4d0)] -> id: customer.address.zipCode]
2023-07-03 19:07:821 INFO  RegisterPge :96 - Enter Phone Number: 0125422525
2023-07-03 19:07:914 INFO  RegisterPge :101 - Enter SSN no: 152457841
2023-07-03 19:07:04 INFO  RegisterPge :106 - Enter User NameGanesha
2023-07-03 19:07:145 INFO  RegisterPge :113 - Enter Password: Test_12345
2023-07-03 19:07:258 INFO  RegisterPge :117 - Enter Password: Test_12345
2023-07-03 19:07:457 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 19:07:306 INFO  HomePage :37 - click on register link :[[ChromeDriver: chrome on WINDOWS (70d4aca97100ee82e1f514088ed04c24)] -> link text: Register]
2023-07-03 19:07:321 INFO  RegisterPge :66 - Enter First Name[[ChromeDriver: chrome on WINDOWS (70d4aca97100ee82e1f514088ed04c24)] -> id: customer.firstName]
2023-07-03 19:07:405 INFO  RegisterPge :70 - Enter Last Name[[ChromeDriver: chrome on WINDOWS (70d4aca97100ee82e1f514088ed04c24)] -> id: customer.lastName]
2023-07-03 19:07:458 INFO  RegisterPge :75 - Enter Address Street NameTest
2023-07-03 19:07:535 INFO  RegisterPge :80 - Enter City Name: Test City
2023-07-03 19:07:620 INFO  RegisterPge :85 - Enter State Name: Test State
2023-07-03 19:07:710 INFO  RegisterPge :90 - Enter Zip Code: [[ChromeDriver: chrome on WINDOWS (70d4aca97100ee82e1f514088ed04c24)] -> id: customer.address.zipCode]
2023-07-03 19:07:772 INFO  RegisterPge :96 - Enter Phone Number: 0125422525
2023-07-03 19:07:851 INFO  RegisterPge :101 - Enter SSN no: 152457841
2023-07-03 19:07:919 INFO  RegisterPge :106 - Enter User NameGanesha
2023-07-03 19:07:18 INFO  RegisterPge :113 - Enter Password: Test_12345
